NORAD_ID,OBJECT_NAME,INCLINATION,RAAN,ECCENTRICITY,ARG_OF_PERIGEE,MEAN_ANOMALY,MEAN_MOTION,BSTAR,EPOCH
652,DEBRIS_652,66.7053,282.0772,0.0067585,41.6779,318.9435,14.18502229,91119-3,26099.81761055
00653,DEBRIS_00653,67.4512,328.7154,0.0155348,31.8854,0.0597,13.70340513,10261-2,26098.62248255
00655,DEBRIS_00655,67.2583,24.8781,0.0366414,7.0889,150.5240,13.09516193,14643-2,26099.26409528
00656,DEBRIS_00656,66.2921,345.1511,0.0651072,156.1270,207.1444,12.72813820,46779-2,26098.99536596
00657,DEBRIS_00657,66.2516,149.4958,0.0333253,60.5336,30.8395,13.11884767,-62155-3,26099.42178757
00658,DEBRIS_00658,65.8636,295.1184,0.0359899,247.7019,108.5507,13.41699206,13998-2,26098.98550793
00659,DEBRIS_00659,67.1595,234.0358,0.0588522,331.4565,206.7082,12.66811447,55773-3,26099.11229714
660,DEBRIS_660,66.4925,14.4471,0.0020008,250.3242,173.8095,15.15405315,15354-2,26099.84017677
00672,DEBRIS_00672,89.9898,336.0790,0.0023632,284.0658,255.2263,13.68861096,18253-2,26099.39578951
00698,DEBRIS_00698,29.9267,330.1663,0.0529532,284.7683,69.4824,13.74215503,10108-3,26098.99380974
00700,DEBRIS_00700,30.4868,13.1034,0.0717584,266.8829,84.9479,13.40175377,37167-4,26099.44847759
00701,DEBRIS_00701,30.0084,111.0010,0.0504443,52.1627,312.3529,13.83239020,24690-3,26099.30026312
00702,DEBRIS_00702,87.3647,196.3569,0.0100416,121.2090,239.8651,8.65654210,15310-1,26099.18379772
00706,DEBRIS_00706,89.9136,73.6237,0.0024399,260.7430,218.6064,13.56587205,39079-3,26099.40561573
00715,DEBRIS_00715,89.9066,78.1977,0.0030722,18.5544,134.8993,13.75535847,83594-3,26098.42616789
00720,DEBRIS_00720,58.4737,16.4519,0.0103446,333.6998,25.8799,14.50616543,18670-3,26099.17761835
00732,DEBRIS_00732,78.5489,311.8788,0.0402711,236.4768,119.7319,14.07057578,10410-2,26098.82491527
00739,DEBRIS_00739,30.4225,104.5213,0.0635771,176.4288,184.1137,13.85205202,40840-4,26099.07255008
742,DEBRIS_742,81.4627,111.1210,0.0169990,291.3101,66.9950,13.26279648,12552-3,26099.48452467
743,DEBRIS_743,81.5226,221.1585,0.0175383,164.3226,315.5505,13.26875872,16175-3,26099.81982405
00745,DEBRIS_00745,89.9889,336.2308,0.0019002,129.7119,22.8608,13.55577263,32065-3,26099.13264366
750,DEBRIS_750,60.7440,151.6966,0.1394368,31.3233,336.3664,12.48524246,12006-2,26099.44997365
753,DEBRIS_753,89.9133,73.3108,0.0028824,45.4884,134.1076,13.54897425,39514-3,26099.67157743
805,DEBRIS_805,89.8573,330.0377,0.0031510,56.7627,303.6585,14.35862903,48509-3,26099.88931987
00831,DEBRIS_00831,60.6720,7.6559,0.1248171,350.4862,7.4308,12.80290062,22138-2,26099.18024967
901,DEBRIS_901,90.2325,74.7872,0.0017995,327.4774,206.6037,13.55134302,16508-3,26099.67304534
903,DEBRIS_903,90.2222,69.4657,0.0021130,323.7550,65.0641,13.80650691,84114-3,26099.87689370
00956,DEBRIS_00956,89.9322,169.4667,0.0021833,221.5786,169.6340,13.67523858,34631-3,26099.17470145
00967,DEBRIS_00967,89.9532,174.1581,0.0019674,234.5504,154.1084,13.67410469,29705-3,26099.17732463
